DoriC AC	RefSeq	Organsim	Taxonomy	Genome Length	oriC location	dnaA box number	dnaA location	The extremes of GC disparity
ORI94010751	NC_014554.1	Lactobacillus plantarum subsp. plantarum ST-III chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	3254376 nt	3253875..3254376 nt	6	1..1368 nt	3254011 nt (minimum), 1584099 nt (maximum)
ORI94010752	NC_014555.1	Helicobacter pylori PeCan4 chromosome	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter.	1629557 nt	1498669..1498819 nt	3	1497301..1498668 nt	1496100 nt (minimum), 642656 nt (maximum)
ORI94010753	NC_014560.1	Helicobacter pylori SJM180 chromosome	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter.	1658051 nt	1578287..1578439 nt	3	1576919..1578286 nt	1657939 nt (minimum), 783325 nt (maximum)
ORI94010754	NC_014614.1	Clostridium sticklandii DSM 519 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	2715461 nt	2715054..123 nt	10	124..1446, 2687075..2688061 nt	2715144 nt (minimum), 1391702 nt (maximum)
ORI94010755	NC_014616.1	Bifidobacterium bifidum S17 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2186882 nt	1591..2190 nt	11	1..1590 nt	18317 nt (minimum), 978050 nt (maximum)
ORI94010756	NC_014616.1	Bifidobacterium bifidum S17 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2186882 nt	2186531..2186882 nt	3	1..1590 nt	18317 nt (minimum), 978050 nt (maximum)
ORI94010757	NC_014622.1	Paenibacillus polymyxa SC2 chromosome	Bacteria, Firmicutes, Bacillales, Paenibacillaceae, Paenibacillus.	5731816 nt	1679..1864 nt	3	332..1678 nt	5731505 nt (minimum), 2845286 nt (maximum)
ORI94010758	NC_014622.1	Paenibacillus polymyxa SC2 chromosome	Bacteria, Firmicutes, Bacillales, Paenibacillaceae, Paenibacillus.	5731816 nt	5731554..331 nt	4	332..1678 nt	5731505 nt (minimum), 2845286 nt (maximum)
ORI94010759	NC_014624.1	Eubacterium limosum KIST612 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium.	4276902 nt	458..740 nt	5	741..2090 nt	4276900 nt (minimum), 2058149 nt (maximum)
ORI94010760	NC_014632.1	Ilyobacter polytropus DSM 2926 chromosome	Bacteria, Fusobacteria, Fusobacteriales, Fusobacteriaceae, Ilyobacter.	2046464 nt	2044762..23 nt	7	24..1862 nt	2044899 nt (minimum), 1029900 nt (maximum)
ORI94010761	NC_014638.1	Bifidobacterium bifidum PRL2010 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2214656 nt	1591..2190 nt	11	1..1590 nt	2214533 nt (minimum), 1083190 nt (maximum)
ORI94010762	NC_014638.1	Bifidobacterium bifidum PRL2010 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2214656 nt	2214305..2214656 nt	3	1..1590 nt	2214533 nt (minimum), 1083190 nt (maximum)
ORI94010763	NC_014639.1	Bacillus atrophaeus 1942 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4168266 nt	3628246..3628875 nt	8	3150162..3151772, 3628876..3630216 nt	3629665 nt (minimum), 1430757 nt (maximum)
ORI94010764	NC_014639.1	Bacillus atrophaeus 1942 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4168266 nt	3630217..3630397 nt	3	3150162..3151772, 3628876..3630216 nt	3629665 nt (minimum), 1430757 nt (maximum)
ORI94010765	NC_014643.1	Rothia dentocariosa ATCC 17931 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Micrococcaceae, Rothia.	2506025 nt	955626..956240 nt	4	956241..957902 nt	953708 nt (minimum), 2180322 nt (maximum)
ORI94010766	NC_014643.1	Rothia dentocariosa ATCC 17931 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Micrococcaceae, Rothia.	2506025 nt	957903..958346 nt	8	956241..957902 nt	953708 nt (minimum), 2180322 nt (maximum)
ORI94010767	NC_014644.1	Gardnerella vaginalis ATCC 14019 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Gardnerella.	1667350 nt	138751..139159 nt	3	139160..140767 nt	139791 nt (minimum), 1000882 nt (maximum)
ORI94010768	NC_014644.1	Gardnerella vaginalis ATCC 14019 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Gardnerella.	1667350 nt	140768..141192 nt	5	139160..140767 nt	139791 nt (minimum), 1000882 nt (maximum)
ORI94010769	NC_014650.1	Geobacillus sp. Y4.1MC1 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Geobacillus.	3840330 nt	3840283..422 nt	11	423..1775 nt	2729 nt (minimum), 1917548 nt (maximum)
ORI94010770	NC_014652.1	Caldicellulosiruptor hydrothermalis 108 chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor.	2770676 nt	1476..1692 nt	3	111..1475 nt	2770569 nt (minimum), 1380326 nt (maximum)
ORI94010771	NC_014652.1	Caldicellulosiruptor hydrothermalis 108 chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor.	2770676 nt	2770339..110 nt	10	111..1475 nt	2770569 nt (minimum), 1380326 nt (maximum)
ORI94010772	NC_014654.1	Halanaerobium hydrogeniformans chromosome	Bacteria, Firmicutes, Clostridia, Halanaerobiales, Halanaerobiaceae, Halanaerobium.	2613117 nt	1499..1759 nt	4	77..1498 nt	18 nt (minimum), 1404064 nt (maximum)
ORI94010773	NC_014654.1	Halanaerobium hydrogeniformans chromosome	Bacteria, Firmicutes, Clostridia, Halanaerobiales, Halanaerobiaceae, Halanaerobium.	2613117 nt	2612638..76 nt	11	77..1498 nt	18 nt (minimum), 1404064 nt (maximum)
ORI94010774	NC_014656.1	Bifidobacterium longum subsp. longum BBMN68 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2265943 nt	1639526..1640260 nt	8	1640261..1641763 nt	602365 nt (minimum), 1932023 nt (maximum)
ORI94010775	NC_014656.1	Bifidobacterium longum subsp. longum BBMN68 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2265943 nt	1641764..1642081 nt	3	1640261..1641763 nt	602365 nt (minimum), 1932023 nt (maximum)
ORI94010776	NC_014657.1	Caldicellulosiruptor owensensis OL chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor.	2428903 nt	1482..1700 nt	3	117..1481 nt	18 nt (minimum), 1254125 nt (maximum)
ORI94010777	NC_014657.1	Caldicellulosiruptor owensensis OL chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor.	2428903 nt	2428570..116 nt	10	117..1481 nt	18 nt (minimum), 1254125 nt (maximum)
ORI94010778	NC_014659.1	Rhodococcus equi 103S	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Nocardiaceae, Rhodococcus.	5043170 nt	1576..2094 nt	4	1..1575 nt	25315 nt (minimum), 2502383 nt (maximum)
ORI94010779	NC_014666.1	Frankia sp. EuI1c chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Frankineae, Frankiaceae, Frankia.	8815781 nt	1691..2875 nt	6	152..1690, 27329..28996, 1606944..1608269 nt	8809106 nt (minimum), 4502186 nt (maximum)
ORI94010780	NC_014720.1	Caldicellulosiruptor kronotskyensis 2002 chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor.	2843785 nt	2843420..82 nt	9	83..1447 nt	9 nt (minimum), 1495759 nt (maximum)
ORI94010781	NC_014721.1	Caldicellulosiruptor kristjanssonii 177R1B chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor.	2786473 nt	1432..1650 nt	3	67..1431 nt	4 nt (minimum), 1430533 nt (maximum)
ORI94010782	NC_014721.1	Caldicellulosiruptor kristjanssonii 177R1B chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor.	2786473 nt	2786091..66 nt	10	67..1431 nt	4 nt (minimum), 1430533 nt (maximum)
ORI94010783	NC_014724.1	Lactobacillus amylovorus GRL 1112 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2067702 nt	2067269..44 nt	10	45..1412, 1250472..1251155 nt	341 nt (minimum), 1211103 nt (maximum)
ORI94010784	NC_014727.1	Lactobacillus delbrueckii subsp. bulgaricus ND02 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2125753 nt	1469..1651 nt	3	104..1468 nt	2125724 nt (minimum), 1055544 nt (maximum)
ORI94010785	NC_014727.1	Lactobacillus delbrueckii subsp. bulgaricus ND02 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2125753 nt	2125564..103 nt	6	104..1468 nt	2125724 nt (minimum), 1055544 nt (maximum)
ORI94010786	NC_014733.1	Methylovorus sp. MP688 chromosome	Bacteria, Proteobacteria, Betaproteobacteria, Methylophilales, Methylophilaceae, Methylovorus.	2862391 nt	1548..1873 nt	3	138..1547 nt	656 nt (minimum), 1439751 nt (maximum)
ORI94010787	NC_014761.1	Oceanithermus profundus DSM 14977 chromosome	Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Oceanithermus.	2303940 nt	1389..1648 nt	3	60..1388 nt	42107 nt (minimum), 1148979 nt (maximum)
ORI94010788	NC_014815.1	Micromonospora sp. L5 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micromonosporineae, Micromonosporaceae, Micromonospora.	6962533 nt	2144..3199 nt	7	314..2143, 657130..658896, 6796638..6798380 nt	55070 nt (minimum), 6465211 nt (maximum)
ORI94010789	NC_014828.1	Ethanoligenens harbinense YUAN-3 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ethanoligenens.	3008576 nt	3008393..330 nt	3	331..1674 nt	3008444 nt (minimum), 1531071 nt (maximum)
ORI94010790	NC_014829.1	Bacillus cellulosilyticus DSM 2522 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4681672 nt	1495..1868 nt	5	139..1494 nt	51 nt (minimum), 2452226 nt (maximum)
ORI94010791	NC_014829.1	Bacillus cellulosilyticus DSM 2522 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4681672 nt	4681094..138 nt	7	139..1494 nt	51 nt (minimum), 2452226 nt (maximum)
ORI94010792	NC_014830.1	Intrasporangium calvum DSM 43043 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Intrasporangiaceae, Intrasporangium.	4024382 nt	1934..2566 nt	5	194..1933, 18510..20045 nt	112849 nt (minimum), 2147902 nt (maximum)
ORI94010793	NC_014831.1	Thermaerobacter marianensis DSM 12885 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiales Family XVII. Incertae Sedis, Thermaerobacter.	2844696 nt	2844644..512 nt	5	513..1892 nt	1842 nt (minimum), 1323004 nt (maximum)
ORI94010794	NC_014836.1	Desulfurispirillum indicum S5 chromosome	Bacteria, Chrysiogenetes, Chrysiogenales, Chrysiogenaceae, Desulfurispirillum.	2928377 nt	1469..1678 nt	3	86..1468 nt	17012 nt (minimum), 1439266 nt (maximum)
ORI94010795	NC_014915.1	Geobacillus sp. Y412MC52 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Geobacillus.	3628883 nt	1402..1573 nt	3	49..1401 nt	3628700 nt (minimum), 1709930 nt (maximum)
ORI94010796	NC_014915.1	Geobacillus sp. Y412MC52 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Geobacillus.	3628883 nt	3628454..48 nt	11	49..1401 nt	3628700 nt (minimum), 1709930 nt (maximum)
ORI94010797	NC_014921.1	Mycoplasma fermentans M64 chromosome	Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	1118751 nt	1..290 nt	3	291..1703 nt	1118687 nt (minimum), 391747 nt (maximum)
ORI94010798	NC_014923.1	Mesorhizobium ciceri biovar biserrulae WSM1271 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium.	6264489 nt	6263709..72 nt	3	73..1620 nt	89624 nt (minimum), 3991086 nt (maximum)
ORI94010799	NC_014925.1	Staphylococcus pseudintermedius HKU10-03 chromosome	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2617381 nt	2615864..2616037 nt	5	1227212..1227904, 2616038..2617381 nt	2615312 nt (minimum), 1189902 nt (maximum)
ORI94010800	NC_014925.1	Staphylococcus pseudintermedius HKU10-03 chromosome	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2617381 nt	1..542 nt	7	1227212..1227904, 2616038..2617381 nt	2615312 nt (minimum), 1189902 nt (maximum)
ORI94010801	NC_014926.1	Thermovibrio ammonificans HB-1 chromosome	Bacteria, Aquificae, Aquificales, Desulfurobacteriaceae, Thermovibrio.	1682965 nt	8068..8314 nt	6	6652..8067 nt	1604314 nt (minimum), 358709 nt (maximum)
ORI94010802	NC_014958.1	Deinococcus maricopensis DSM 21211 chromosome	Bacteria, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus.	3498530 nt	1616..1903 nt	11	248..1615 nt	1974940 nt (minimum), 3483042 nt (maximum)
ORI94010803	NC_014964.1	Thermoanaerobacter brockii subsp. finnii Ako-1 chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Thermoanaerobacter.	2344824 nt	2344401..85 nt	8	86..1417 nt	843 nt (minimum), 1220613 nt (maximum)
ORI94010804	NC_014974.1	Thermus scotoductus SA-01 chromosome	Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus.	2346803 nt	1365..1664 nt	13	21..1364 nt	2346800 nt (minimum), 1152906 nt (maximum)
ORI94010805	NC_014976.1	Bacillus subtilis BSn5 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4093599 nt	2211799..2212424 nt	8	1735175..1736785, 2212425..2213765 nt	2212215 nt (minimum), 74277 nt (maximum)
ORI94010806	NC_014976.1	Bacillus subtilis BSn5 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4093599 nt	2213766..2213953 nt	3	1735175..1736785, 2212425..2213765 nt	2212215 nt (minimum), 74277 nt (maximum)
ORI94010807	NC_015052.1	Bifidobacterium longum subsp. infantis 157F	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2400312 nt	1504..2238 nt	8	1..1503 nt	2305178 nt (minimum), 725458 nt (maximum)
ORI94010808	NC_015052.1	Bifidobacterium longum subsp. infantis 157F	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2400312 nt	2399995..2400312 nt	3	1..1503 nt	2305178 nt (minimum), 725458 nt (maximum)
ORI94010809	NC_015067.1	Bifidobacterium longum subsp. longum JCM 1217	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2385164 nt	1504..2238 nt	8	1..1503 nt	2296217 nt (minimum), 250062 nt (maximum)
ORI94010810	NC_015067.1	Bifidobacterium longum subsp. longum JCM 1217	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2385164 nt	2384847..2385164 nt	3	1..1503 nt	2296217 nt (minimum), 250062 nt (maximum)
ORI94010811	NC_015125.1	Microbacterium testaceum StLB037	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Microbacteriaceae, Microbacterium.	3982034 nt	1602584..1603032 nt	3	1603033..1604448 nt	1589779 nt (minimum), 165050 nt (maximum)
ORI94010812	NC_015125.1	Microbacterium testaceum StLB037	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Microbacteriaceae, Microbacterium.	3982034 nt	1604449..1604745 nt	3	1603033..1604448 nt	1589779 nt (minimum), 165050 nt (maximum)
ORI94010813	NC_015145.1	Arthrobacter phenanthrenivorans Sphe3 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Micrococcaceae, Arthrobacter.	4250414 nt	1820..2346 nt	3	395..1819 nt	4090070 nt (minimum), 1119895 nt (maximum)
ORI94010814	NC_015145.1	Arthrobacter phenanthrenivorans Sphe3 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Micrococcaceae, Arthrobacter.	4250414 nt	4249760..394 nt	5	395..1819 nt	4090070 nt (minimum), 1119895 nt (maximum)
ORI94010815	NC_015152.1	Spirochaeta sp. Buddy chromosome	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Spirochaeta.	3316466 nt	1512..1727 nt	5	90..1511 nt	3316422 nt (minimum), 1488087 nt (maximum)
ORI94010816	NC_015161.1	Deinococcus proteolyticus MRP chromosome	Bacteria, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus.	2147060 nt	1694..2243 nt	11	209..1693 nt	2109890 nt (minimum), 981544 nt (maximum)
ORI94010817	NC_015172.1	Syntrophobotulus glycolicus DSM 8271 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Syntrophobotulus.	3406739 nt	3406440..55 nt	5	56..1396 nt	3406518 nt (minimum), 1782128 nt (maximum)
ORI94010818	NC_015185.1	Desulfurobacterium thermolithotrophum DSM 11699 chromosome	Bacteria, Aquificae, Aquificales, Desulfurobacteriaceae, Desulfurobacterium.	1541968 nt	2516..2735 nt	6	1106..2515 nt	22 nt (minimum), 1372770 nt (maximum)
ORI94010819	NC_015214.1	Lactobacillus acidophilus 30SC chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2078001 nt	2077532..8 nt	10	9..1376, 324623..325660, 428206..428379, 1218618..1219301 nt	305 nt (minimum), 1177812 nt (maximum)
ORI94010820	NC_015215.1	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2356444 nt	1357..1513 nt	3	1..1356, 741596..742447, 1448842..1449537, 2116480..2116806, 2116868..2117563 nt	2356335 nt (minimum), 1126958 nt (maximum)
ORI94010821	NC_015215.1	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2356444 nt	2356242..2356444 nt	5	1..1356, 741596..742447, 1448842..1449537, 2116480..2116806, 2116868..2117563 nt	2356335 nt (minimum), 1126958 nt (maximum)
ORI94010822	NC_015275.1	Clostridium lentocellum DSM 5427 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Cellulosilyticum.	4714237 nt	1369..1616 nt	6	28..1368 nt	1229 nt (minimum), 2447233 nt (maximum)
ORI94010823	NC_015275.1	Clostridium lentocellum DSM 5427 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Cellulosilyticum.	4714237 nt	4712956..27 nt	10	28..1368 nt	1229 nt (minimum), 2447233 nt (maximum)
ORI94010824	NC_015276.1	Marinomonas mediterranea MMB-1 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Marinomonas.	4684316 nt	4683848..58 nt	6	59..1603 nt	1 nt (minimum), 2442568 nt (maximum)
ORI94010825	NC_015278.1	Aerococcus urinae ACS-120-V-Col10a chromosome	Bacteria, Firmicutes, Lactobacillales, Aerococcaceae, Aerococcus.	2080974 nt	1392..1638 nt	3	39..1391 nt	4950 nt (minimum), 1114946 nt (maximum)
ORI94010826	NC_015278.1	Aerococcus urinae ACS-120-V-Col10a chromosome	Bacteria, Firmicutes, Lactobacillales, Aerococcaceae, Aerococcus.	2080974 nt	2080620..38 nt	5	39..1391 nt	4950 nt (minimum), 1114946 nt (maximum)
ORI94010827	NC_015291.1	Streptococcus oralis Uo5	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1958690 nt	1363..1520 nt	3	1..1362, 195462..195965, 488839..490002 nt	2314 nt (minimum), 970548 nt (maximum)
ORI94010828	NC_015291.1	Streptococcus oralis Uo5	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1958690 nt	1958479..1958690 nt	4	1..1362, 195462..195965, 488839..490002 nt	2314 nt (minimum), 970548 nt (maximum)
ORI94010829	NC_015379.1	Pseudomonas brassicacearum subsp. brassicacearum NFM421 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	6843248 nt	6842881..131 nt	6	132..1658 nt	6427 nt (minimum), 3593130 nt (maximum)
ORI94010830	NC_015385.1	Treponema succinifaciens DSM 2489 chromosome	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema.	2731853 nt	1488..1779 nt	3	30..1487 nt	1964 nt (minimum), 1355326 nt (maximum)
ORI94010831	NC_015387.1	Marinithermus hydrothermalis DSM 14884 chromosome	Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Marinithermus.	2269167 nt	1392..1660 nt	12	45..1391 nt	2117 nt (minimum), 1214835 nt (maximum)
ORI94010832	NC_015391.1	Carnobacterium sp. 17-4 chromosome	Bacteria, Firmicutes, Lactobacillales, Carnobacteriaceae, Carnobacterium.	2635294 nt	1439..1621 nt	3	101..1438 nt	2106 nt (minimum), 1284764 nt (maximum)
ORI94010833	NC_015391.1	Carnobacterium sp. 17-4 chromosome	Bacteria, Firmicutes, Lactobacillales, Carnobacteriaceae, Carnobacterium.	2635294 nt	2634775..100 nt	9	101..1438 nt	2106 nt (minimum), 1284764 nt (maximum)
ORI94010834	NC_015410.1	Pseudomonas mendocina NK-01 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	5434353 nt	5433907..78 nt	5	79..1563 nt	42801 nt (minimum), 2746852 nt (maximum)
ORI94010835	NC_015425.1	Clostridium botulinum BKT015925 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	2773157 nt	2771327..2771581 nt	5	2771582..2772934 nt	1 nt (minimum), 1395152 nt (maximum)
ORI94010836	NC_015425.1	Clostridium botulinum BKT015925 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	2773157 nt	2772935..337 nt	4	2771582..2772934 nt	1 nt (minimum), 1395152 nt (maximum)
ORI94010837	NC_015428.1	Lactobacillus buchneri NRRL B-30929 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2506301 nt	1719..1907 nt	4	369..1718 nt	2506248 nt (minimum), 1160685 nt (maximum)
ORI94010838	NC_015428.1	Lactobacillus buchneri NRRL B-30929 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2506301 nt	2506165..368 nt	9	369..1718 nt	2506248 nt (minimum), 1160685 nt (maximum)
ORI94010839	NC_015431.1	Mycoplasma mycoides subsp. capri LC str. 95010	Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	1153998 nt	1153982..276 nt	3	277..1629 nt	1111433 nt (minimum), 637841 nt (maximum)
ORI94010840	NC_015433.1	Streptococcus suis ST3 chromosome	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2028815 nt	1375..1527 nt	3	1..1374 nt	2026448 nt (minimum), 1009851 nt (maximum)
ORI94010841	NC_015433.1	Streptococcus suis ST3 chromosome	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2028815 nt	2028614..2028815 nt	4	1..1374 nt	2026448 nt (minimum), 1009851 nt (maximum)
ORI94010842	NC_015434.1	Verrucosispora maris AB-18-032 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micromonosporineae, Micromonosporaceae, Verrucosispora.	6673976 nt	6666231..6667007 nt	9	5593..7335, 242507..244069, 6664407..6666230 nt	6673972 nt (minimum), 2702687 nt (maximum)
ORI94010843	NC_015436.1	Spirochaeta coccoides DSM 17374 chromosome	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Spirochaeta.	2227296 nt	1526..1779 nt	4	113..1525 nt	2227233 nt (minimum), 711985 nt (maximum)
ORI94010844	NC_015437.1	Selenomonas sputigena ATCC 35185 chromosome	Bacteria, Firmicutes, Negativicutes, Selenomonadales, Veillonellaceae, Selenomonas.	2568361 nt	2567897..70 nt	8	71..1537 nt	3383 nt (minimum), 1282629 nt (maximum)
ORI94010845	NC_015497.1	Glaciecola sp. 4H-3-7+YE-5 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Glaciecola.	5052309 nt	5051877..76 nt	3	77..1507 nt	45 nt (minimum), 2536578 nt (maximum)
ORI94010846	NC_015499.1	Thermodesulfobium narugense DSM 14796 chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermodesulfobiaceae, Thermodesulfobium.	1898865 nt	1381..1609 nt	7	52..1380 nt	3521 nt (minimum), 944374 nt (maximum)
ORI94010847	NC_015500.1	Treponema brennaborense DSM 12168 chromosome	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema.	3055580 nt	1594..1840 nt	3	52..1593 nt	3055404 nt (minimum), 1585617 nt (maximum)
ORI94010848	NC_015514.1	Cellulomonas fimi ATCC 484 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Cellulomonadaceae, Cellulomonas.	4266344 nt	1572..2400 nt	3	69..1571 nt	3559 nt (minimum), 2245913 nt (maximum)
ORI94010849	NC_015516.1	Melissococcus plutonius ATCC 35311	Bacteria, Firmicutes, Lactobacillales, Enterococcaceae, Melissococcus.	1891014 nt	1406..1584 nt	4	62..1405, 1094060..1094773 nt	167 nt (minimum), 1155450 nt (maximum)
ORI94010850	NC_015516.1	Melissococcus plutonius ATCC 35311	Bacteria, Firmicutes, Lactobacillales, Enterococcaceae, Melissococcus.	1891014 nt	1890570..61 nt	8	62..1405, 1094060..1094773 nt	167 nt (minimum), 1155450 nt (maximum)
ORI94010851	NC_015519.1	Tepidanaerobacter sp. Re1 chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Tepidanaerobacter.	2759867 nt	1453..1711 nt	5	91..1452 nt	1856 nt (minimum), 1374206 nt (maximum)
